6134716.txt;761.3175;385.68195;1.0
6134718.txt;491.13535;219.43593;1.0
6134721.txt;643.0693;312.34567;1.0
6134726.txt;646.1197;215.43349;1.0
6134735.txt;492.89987;193.8701;1.0
6134752.txt;457.66104;190.42363;1.0
6382757.txt;723.1146;375.01715;2.0
6656206.txt;611.3548;423.98074;3.0
1464898.txt;669.3405;350.3166;0.0
6134717.txt;760.9152;345.74765;1.0
6134719.txt;508.05505;229.27449;1.0
6134720.txt;766.13947;402.7401;1.0
6134722.txt;775.2574;417.69565;1.0
6134723.txt;704.8895;392.5988;1.0
6134724.txt;767.92035;407.4036;1.0
6134725.txt;767.7809;436.8408;1.0
6134727.txt;415.7973;159.29341;1.0
6134728.txt;454.59738;176.8234;1.0
6134729.txt;781.0287;410.82465;1.0
6134730.txt;458.55365;185.75113;1.0
6134731.txt;505.25735;218.49031;1.0
6134732.txt;772.59735;400.75543;1.0
6134733.txt;702.4154;364.3896;1.0
6134734.txt;776.0372;391.02026;1.0
6134736.txt;762.8461;393.10675;1.0
6134737.txt;774.33215;411.95966;1.0
6134738.txt;469.6226;196.12251;1.0
6134739.txt;781.929;415.1326;1.0
6134740.txt;780.8872;418.77817;1.0
6134741.txt;488.15503;222.38757;1.0
6134742.txt;569.8699;260.24268;1.0
6134743.txt;469.983;210.24202;1.0
6134744.txt;539.0407;252.95766;1.0
6134745.txt;836.1015;360.73767;1.0
6134746.txt;451.68546;200.40141;1.0
6134747.txt;768.26166;414.46878;1.0
6134748.txt;687.5581;343.04282;1.0
6134749.txt;778.4137;430.73978;1.0
6134750.txt;755.5289;389.63144;1.0
6134751.txt;752.63165;361.94934;1.0
6134753.txt;787.18054;402.72305;1.0
6134754.txt;773.1626;418.0658;1.0
6134755.txt;538.11005;252.84406;1.0
6134756.txt;484.07535;221.62624;1.0
6134766.txt;531.4978;245.04662;1.0
6134767.txt;689.1114;374.0688;1.0
6134768.txt;749.5977;402.09338;1.0
6134769.txt;485.39563;206.7338;1.0
6382732.txt;463.97272;197.20425;2.0
6382733.txt;623.2129;291.54587;2.0
6382734.txt;775.2293;432.77924;2.0
6382735.txt;454.614;189.77393;2.0
6382736.txt;410.79953;169.34692;2.0
6382737.txt;772.2922;412.39542;2.0
6382738.txt;530.8307;235.67673;2.0
6382739.txt;775.2596;431.6804;2.0
6382741.txt;474.26675;205.85385;2.0
6382742.txt;738.3077;405.6743;2.0
6382743.txt;425.83936;178.40143;2.0
6382744.txt;804.45184;416.6786;2.0
6382745.txt;794.0567;434.69623;2.0
6382746.txt;431.61154;169.59967;2.0
6382747.txt;725.9641;372.9078;2.0
6382748.txt;772.7758;422.61142;2.0
6382749.txt;744.42053;447.83817;2.0
6382750.txt;536.1397;251.7062;2.0
6382751.txt;774.50616;410.39108;2.0
6382752.txt;788.76434;412.74692;2.0
6382753.txt;720.28265;314.7775;2.0
6382754.txt;730.1029;337.8696;2.0
6382755.txt;713.2522;357.3956;2.0
6382756.txt;770.6817;410.24402;2.0
6382758.txt;771.6133;394.34116;2.0
6382759.txt;693.24316;355.86002;2.0
6382760.txt;501.0271;192.19666;2.0
6382761.txt;538.5304;254.33348;2.0
6382762.txt;433.06146;183.13094;2.0
6382763.txt;783.17444;420.35248;2.0
6382764.txt;775.12006;386.52094;2.0
6382765.txt;509.67935;224.99179;2.0
6382766.txt;710.1625;30.298676;2.0
6382767.txt;370.02194;639.6032;2.0
6382768.txt;353.31567;119.23612;2.0
6382769.txt;765.06866;408.53214;2.0
6382770.txt;943.5812;387.23294;2.0
6382771.txt;850.1829;405.8414;2.0
6382772.txt;893.5884;434.33768;2.0
6382773.txt;779.481;426.12476;2.0
6382774.txt;777.9045;423.07663;2.0
6382775.txt;769.5207;409.49966;2.0
6382776.txt;487.22437;212.33444;2.0
6656161.txt;412.8464;158.77039;3.0
6656162.txt;454.52524;197.8516;3.0
6656163.txt;655.9333;330.42838;3.0
6656164.txt;783.6473;433.33554;3.0
6656165.txt;771.5118;411.5825;3.0
6656166.txt;499.85056;228.77351;3.0
6656167.txt;506.5114;217.4684;3.0
6656168.txt;774.283;411.8091;3.0
6656169.txt;799.80566;408.91113;3.0
6656170.txt;838.30615;404.8811;3.0
6656171.txt;795.0297;418.44775;3.0
6656172.txt;768.5575;406.78998;3.0
6656173.txt;709.2787;361.54532;3.0
6656174.txt;763.19586;410.22223;3.0
6656175.txt;652.1991;320.52396;3.0
6656176.txt;766.62695;390.44983;3.0
6656177.txt;675.7267;341.743;3.0
6656178.txt;420.28363;155.86143;3.0
6656179.txt;761.56006;396.54715;3.0
6656180.txt;536.47314;246.26846;3.0
6656181.txt;774.7088;414.22787;3.0
6656182.txt;767.94684;439.78757;3.0
6656183.txt;776.4632;411.02383;3.0
6656184.txt;766.99426;397.6786;3.0
6656185.txt;449.52115;180.89699;3.0
6656186.txt;756.9756;401.63242;3.0
6656187.txt;774.9483;411.13168;3.0
6656188.txt;786.6958;447.90393;3.0
6656189.txt;651.81647;541.1658;3.0
6656190.txt;1012.4828;276.1268;3.0
6656191.txt;451.45685;208.59909;3.0
6656192.txt;768.3408;407.00534;3.0
6656193.txt;772.1095;409.45343;3.0
6656194.txt;429.49368;177.71255;3.0
6656195.txt;755.59814;399.41504;3.0
